#CENTER_OF_ORBIT         BODYNAME          SEMIMAJOR_AXIS  BVmag UBmag  Orb.i AscNode ArgPeri  MeanAnom   ±ABSMG VolMeanRad Oblateness Eccentricity OrbitPeriod        Eqincl  Equinox   RotationPeriod     Mass         Atm.Pa.
Sun                      Mercury               57909100000 +0.97 +0.40  07.00 048.331 029.1241 174.796    -0.42     2439700 .0009      .205630            7600530        0.01  325.             5067000     3.3011e+26    5e-10
Sun                      Venus                108209000000 +0.81 +0.50  03.39 076.681 054.8910 050.115    -4.40     6051800 .000       .006772           19414200        2.64  057.59         -20997150     4.86731e+27  9.3e+6
Sun                      Earth                149598023000 +0.20 +0.0   00.00 348.739 102.940  358.617    -3.86     6371000 .00335     .0167086          31558149.7635  23.45  000.00000          86164.100 5.97217e+27  101325
Sun                      Mars                 227939366000 +1.43 +0.63  01.85 049.579 286.502  019.412    -1.52     3389500 .00589     .0934             59355100       25.19  265.06             88642.68  6.4171e+26      636
Sun                      Jupiter              778479000000 +0.87 +0.48  01.31 100.556 273.878  020.020    -9.40    69886000 .06499     .0489            374336000        3.13  137.13             35730     1.898125e+30 600000
Sun                      Saturn              1433530000000 +1.09 +0.58  02.48 113.715 339.394  317.020    -8.88    58232000 .09796     .0565            929292500       26.73  353.62             38018     5.68317e+29    1e+8
Sun                      Uranus              2870972000000 +0.56 +0.28  00.77 074.230 096.6612 142.238600 -7.19    25362000 .02293     .04717          2651490000       97.77  347.48             62092.3   8.68099e+28    ????
Sun                      Neptune             4498397592000 +0.41 +0.21  01.77 131.722 272.846  259.883    -6.87    24622000 .01708     .008678         5200800000       28.32  225.94             58100     1.024092e+29   ????
